serial_number;tree_location;date_time;date (mdy);time;rh;t_rh;t;l1;battery
SN319439 (jsi_pnt_1);T27;7/30/2016 12:00:00 PM;7/30/2016;12:00:00 PM;93;18,39999962;18,4;1314,462891;3,89
SN319439 (jsi_pnt_1);T27;7/30/2016 4:00:00 PM;7/30/2016;4:00:00 PM;93,7;17,25;17,1;224,5540771;3,89
SN319439 (jsi_pnt_1);T27;7/30/2016 8:00:00 PM;7/30/2016;8:00:00 PM;94,1;16,65999985;16,6;0;3,89
SN319439 (jsi_pnt_1);T27;7/31/2016 12:00:00 AM;7/31/2016;12:00:00 AM;94,2;15,77999973;15,7;0;3,89
SN319439 (jsi_pnt_1);T27;7/31/2016 4:00:00 AM;7/31/2016;4:00:00 AM;94,4;15,25;15,3;0;3,89
SN319439 (jsi_pnt_1);T27;7/31/2016 8:00:00 AM;7/31/2016;8:00:00 AM;94,6;15,34000015;15,1;246,461792;3,89
SN319439 (jsi_pnt_1);T27;7/31/2016 12:00:00 PM;7/31/2016;12:00:00 PM;91,1;19,54000092;19,8;3154,710938;3,89
SN319439 (jsi_pnt_1);T27;7/31/2016 4:00:00 PM;7/31/2016;4:00:00 PM;71,9;25,34000015;24,1;3735,265381;3,89
SN319439 (jsi_pnt_1);T27;7/31/2016 8:00:00 PM;7/31/2016;8:00:00 PM;91,8;18,21999931;18,3;0;3,89
SN319439 (jsi_pnt_1);T27;8/1/2016 12:00:00 AM;8/1/2016;12:00:00 AM;92,8;17,43000031;17,3;0;3,89
SN319439 (jsi_pnt_1);T27;8/1/2016 4:00:00 AM;8/1/2016;4:00:00 AM;93;15,82999992;15,8;0;3,89
SN319439 (jsi_pnt_1);T27;8/1/2016 8:00:00 AM;8/1/2016;8:00:00 AM;93,6;15,68000031;15,5;115,0155029;3,89
SN319439 (jsi_pnt_1);T27;8/1/2016 12:00:00 PM;8/1/2016;12:00:00 PM;88,7;20,94000053;20,6;2223,633057;3,89
SN319439 (jsi_pnt_1);T27;8/1/2016 4:00:00 PM;8/1/2016;4:00:00 PM;94,2;20,44000053;20,2;788,6777344;3,89
SN319439 (jsi_pnt_1);T27;8/1/2016 8:00:00 PM;8/1/2016;8:00:00 PM;90,9;18,60000038;18,5;0;3,89
SN319439 (jsi_pnt_1);T27;8/2/2016 12:00:00 AM;8/2/2016;12:00:00 AM;92,4;18;18;0;3,89
SN319439 (jsi_pnt_1);T27;8/2/2016 4:00:00 AM;8/2/2016;4:00:00 AM;92,9;16,97999954;17;0;3,89
SN319439 (jsi_pnt_1);T27;8/2/2016 8:00:00 AM;8/2/2016;8:00:00 AM;93,4;15,76000023;15,5;262,8925781;3,89
SN319439 (jsi_pnt_1);T27;8/2/2016 12:00:00 PM;8/2/2016;12:00:00 PM;89,4;19,71999931;19,9;914,6470947;3,89
SN319439 (jsi_pnt_1);T27;8/2/2016 8:00:00 PM;8/2/2016;8:00:00 PM;93;18,65999985;18,8;0;3,89
SN319439 (jsi_pnt_1);T27;8/3/2016 12:00:00 AM;8/3/2016;12:00:00 AM;90,8;16,78000069;16,8;0;3,89
SN319439 (jsi_pnt_1);T27;8/3/2016 4:00:00 AM;8/3/2016;4:00:00 AM;91,2;15,96000004;15,8;0;3,89
SN319439 (jsi_pnt_1);T27;8/3/2016 8:00:00 AM;8/3/2016;8:00:00 AM;92,1;16,45999908;15,9;635,3237305;3,89
